name,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
MG Road / CBD,-0.0681141155018572,-0.0762632369379808,-0.06649885840368579,-0.06837830220001997,-0.08293640467638601,-0.08469832829548508,-0.06895381175477416,-0.08204307044555627,-0.0827457666561829,-0.08215634638257242
Sadashivanagar,-0.09364716604276138,-0.09019680963070895,-0.07673840650006511,-0.08192281116803436,-0.085678512574375,-0.10152012679798549,-0.08154295747934391,-0.10313823494707652,-0.10071635399622261,-0.08064154081871668
Indiranagar,-0.06946796718118925,-0.06612125372460542,-0.04352100477802535,-0.053985019373197836,-0.0644033205396703,-0.06973697878812843,-0.054824347107080514,-0.07564071890923169,-0.07448445046067351,-0.06195820570820303
Koramangala,-0.05716652563709384,-0.046116371892401725,-0.031179364002774237,-0.04100473448997654,-0.04412548308186497,-0.06773742912890136,-0.04368596787484953,-0.06969924896498877,-0.0731162908493139,-0.04689581769422462
Ulsoor,-0.07023497083014041,-0.07096838703545656,-0.05457724160938049,-0.063967161447282,-0.07464717451975489,-0.08293024509634206,-0.0649938894896329,-0.08775287377573682,-0.08603389797518388,-0.07555428233844187
Domlur,-0.0698480247759231,-0.060265914479559736,-0.04650662139249893,-0.05291747852538077,-0.06221542357970065,-0.07766531055521715,-0.05599149390893011,-0.08736711985512975,-0.08725456943187904,-0.06592961571654249
HSR Layout,-0.05538899254272726,-0.04238223563604311,-0.00718827830163224,-0.03941781857188806,-0.0038484789659777264,-0.07075394406169705,-0.0392417424407893,-0.06949327210814475,-0.07588581753333237,-0.015179430011647128
Bellandur,-0.10990097096617406,-0.10420310211405494,-0.08976513062054452,-0.10488981196772547,-0.08482993474578934,-0.1175894783248811,-0.060373231138027686,-0.09509014444526463,-0.09438946764658405,-0.057351336241509294
Marathahalli,-0.04193836603032822,-0.025917788030984268,-0.00808944221151628,-0.022546025671567237,-0.010138398873399429,-0.04656588679624009,-0.01770771873066697,-0.04140626715849235,-0.045133309026034366,-0.015718609186699196
Brookefield,-0.044620571324001074,-0.027932772354383028,-0.0007713642238724935,-0.022917096135948296,-0.0072035265389386914,-0.04227565958745713,-0.018586968457056083,-0.043365830721338865,-0.048299289116352125,-0.015557322699189741
Whitefield,-0.09910407528111954,-0.08180896077562444,-0.05192385532388421,-0.06858204036715633,-0.040738633097818854,-0.07684545169668539,-0.05099497338265003,-0.08140582922354694,-0.09010554795796095,-0.03260109924727793
Kadugodi,-0.09368427286870895,-0.07060605390809993,-0.03311436353986452,-0.052917014915221106,-0.03196025957797932,-0.06956190361192341,-0.0435548491560419,-0.07505226769723798,-0.06872513126156808,-0.02100064937806513
Hebbal,-0.08432043593163267,-0.08949680577373834,-0.07513750279190887,-0.0788380036171785,-0.08623398126409205,-0.0955221115098255,-0.07227803922883316,-0.09111635394355533,-0.09280891445504895,-0.07812834774576809
Nagawara,-0.03441225638228316,-0.013381153377535994,0.02257047653986857,0.0022699091463972585,0.005264881282564205,-0.03242208194091468,-0.010106918878236008,-0.04376872438784313,-0.034093809277240296,0.0022746524195312824
Malleshwaram,-0.05341767243563888,-0.05913942580411083,-0.04521247087851718,-0.04964270207674333,-0.0536567207085342,-0.058305861009962184,-0.04807010090255271,-0.055326096061776735,-0.057097135860625356,-0.05055622163955272
Rajajinagar,-0.023266868861661932,-0.033357323505422906,-0.013972727925407784,-0.021298763086687024,-0.024396594590593977,-0.027238162556352953,-0.021237425884361123,-0.02481579976724813,-0.03027900265744624,-0.029142466104525484
Jayanagar,-0.047700095446839244,-0.053819640313912474,-0.04143873294693638,-0.0446358956819118,-0.05386227118767629,-0.05633569291305316,-0.0444023682195933,-0.047979312040679144,-0.05744377185395647,-0.0517730569631799
Basavanagudi,-0.046472979417170254,-0.0480258351431782,-0.037527606651692934,-0.04132589878321063,-0.051080263200764975,-0.049669199310409064,-0.04559286318262037,-0.04708843983307366,-0.05252730539533752,-0.04643083439199413
JP Nagar,-0.040523501716568204,-0.04438583842439908,-0.03208748038994388,-0.041317182655548026,-0.029327049066860317,-0.04708785002108546,-0.031176902826021303,-0.037343257299493365,-0.0453039452425894,-0.03272395928641256
BTM Layout,-0.055407601749250114,-0.04321890914047747,-0.03374694726518189,-0.03373535025675059,-0.03817252631981985,-0.061096417478708656,-0.044369510052337253,-0.04623560412247846,-0.0488460139520618,-0.03766634960371239
Bannerghatta Road,-0.06684662906838032,-0.04887389543902021,-0.03484826420340071,-0.055898235296378586,-0.03340770608026575,-0.0652056504133427,-0.04914191042672088,-0.06213879895033258,-0.06840051624933433,-0.030112464427708676
Electronic City,-0.0561006000999294,-0.02526428575682313,0.0019415545972241118,-0.02856853566237632,0.005122422980931496,-0.03533767064034076,-0.03322800394617503,-0.042471870733968395,-0.04773588687765539,-3.643447933375925e-05
Yelahanka,-0.10375861000105284,-0.08147674384780215,-0.05947836946828036,-0.07679174103206378,-0.0727322551083176,-0.10040199509157276,-0.0685257766640911,-0.09531523103377501,-0.10776302334739854,-0.0625046594721352
Kanakapura Road (outer),0.013018531696952768,0.006398764035761482,0.039618058546328584,-0.016779964331395208,0.024494849054083497,-0.044549326543494513,-0.01445416493916894,-0.06327607913145634,-0.06404418354411158,0.016114547405459836
